제목,내용,조회수,첨부파일명,첨부파일 링크,출처
정보통신업 취업자 16개월 연속 증가세,"지난 4월 기준 정보통신업(ICT서비스 및 SW산업) 취업자가 85만9000명으로 지난해 4월 대비 약 4만4000명 증가(5.4%)했고 16개월 연속 증가세를 기록한 것으로 나타났다. 22일 과학기술정보통신부가 발표한 정보통신업 고용통계에 따르면, 정보통신업 취업자 수는 전체 산업(2704만명)의 3.2%에 불과하지만, 증가 규모는 전체 산업 취업자 증가 규모(17만명)의 25.9%를 차지한다고 밝혔다.  특히 전체 산업에서 고용이 감소한 30세∼49세 청장년층과 상용종사자 취업자 증가세가 정보통신업에서는 높게 나타나 청장년 고용 확대에 기여하고 있는 것으로 분석됐다. 전체 산업에서 30~49세 취업자는 27만7000명 줄어든 반면 정보통신업에서는 2만1000명 증가(54만5000명)했다.",2,,,전자신문
연내 대부분 시내버스에서 공공와이파이 제공,"KT가 전국 시내버스 2만3000여대에 공공와이파이를 구축한다. 올해 말부터 전국 대부분의 시내버스에서 공공와이파이 서비스 이용이 가능할 것으로 전망된다.  한국정보화진흥원(NIA)은 22일 '버스 공공와이파이 임차운영 사업(2차)' 입찰에서 KT를 우선협상대상자로 선정했다고 밝혔다. 1차 사업 수행사인 KT는 가격과 기술 점수에서 모두 SK텔레콤에 앞섰다.  한국정보화진흥원 관계자는 “1차 사업 경험이 있고 광대역 롱텀에벌루션(LTE48)망을 전국망으로 운영한다는 점 등에서 좋은 점수를 받은 것 같다”고 밝혔다. KT는 기술 협상을 거쳐 다음 달부터 시내버스 2만3047대에 공공와이파이를 구축, 연말까지 순차적으로 서비스를 개시한다.  연말이면 1차 사업 대상인 4200대까지 총 2만7247대의 시내버스에서 공공와이파이 이용이 가능하다.",3,,,전자신문
"바다 3면서 LTE 잡힌다고...SK텔레콤, 이통3사 최초 서비스","SK텔레콤은 내달부터 이동통신사 처음으로 동해, 남해, 서해 바다 3면에서 해상 LTE 서비스를 시작한다.  SK텔레콤은 “육지에 설치된 기지국으로부터 최대 100㎞ 연근해에서 스마트폰으로 음성·영상통화162, 인터넷을 이용할 수 있다”고 설명했다.    해상 LTE 서비스가 시작되면 연근해와 도서지역을 오가는 해상 종사자의 통신 이용 불편 해소는 물론 정보격차를 줄이는 데 일조할 전망이다.  SK텔레콤은 6월 초부터 부산·통영·거제권을 시작으로 해상 LTE 서비스를 개시한다. 6월 말까지 순차적으로 2차 포항·경북권, 3차 인천·서해권, 4차 전라도권, 5차 제주권으로 확대한다. 해상 LTE 서비스는 LTE 신호를 선박내 라우터가 와이파이 신호로 변경해 선박에서 LTE를 이용할 수 있도록 한 것이다.",2,,,전자신문
"화웨이, 구글 안드로이드 사용 못한다",미국 정부가 화웨이를 거래 제한 기업 명단에 올리면서 구글이 화웨이와의 소프트웨어(SW)·하드웨어(HW) 관련 일부 사업 관계를 정리하는 등 스마트폰에 탑재되는 안드로이드 운용체계(OS) 관련 기술 협력 등이 중단될 것으로 보인다.,2,,,전자신문
5G 망 중립성 결론 연기 왜...통신사-시민단체 충돌,정부가 주도한 5세대(5G) 이동통신 망중립성 논의 결론이 미뤘졌다. 최악의 경우 5G 주요 서비스가 출시되지 못하는 상황도 배제하기 어렵게 됐다. 네트워크 슬라이싱452 국제표준과 5G 스탠드얼론(SA) 상용화가 향후 논의 과정에서 최대 변수가 될 전망이다. 과학기술정보통신부가 지난해 9월부터 운영한 5G 정책협의회가 5G 망중립성 의견 대립으로 최종 합의에 이르지 못한 것으로 파악됐다.  통신사와 시민단체간 의견 대립이 격렬했다다는 후문이다. 통신사는 5G 네트워크 슬라이싱 기술을 관리형서비스로 인정하자고 주장했지만 시민단체는 어떠한 경우에도 망중립성을 훼손해선 안 된다고 맞섰다.,2,,,전자신문
구미시에 5G 이동통신 단말기 테스트베드 구축,"국내 기업의 5세대(5G) 이동통신 단말기·디바이스 개발을 지원하는 시험·검증 시설(테스트베드)이 구미시에 구축된다. 과학기술정보통신부는 구미전자정보기술원(GERI)을 5G 테스트베드 구축 수행기관으로 선정했다. 2023년까지 5년간 국비 128억, 지방비 70억 등 총 198억원이 투입된다.5G 테스트베드는 이달 말부터 장비를 구축하고 시험공간 등을 마련, 2023년까지 조성될 예정이다. 기업 대상 시험·검증 서비스는 내년 하반기 시작한다.",2,,,전자신문
3.40~3.42GHz 비롯한 5G 추가 주파수 확보 속도,"과학기술정보통신부가 5세대(5G) 이동통신 추가 주파수 확보에 속도를 내고 있다. 과기정통부는 공공 분야 주파수와 간섭 우려로 지난해 경매에서 제외한 3.40~3.42㎓ 대역 간섭 테스트 논의에 착수했다. 과기정통부는 관계자는 “간섭 우려가 있는 하부 대역 공공기관 담당자와 테스트 가능 여부, 시기와 방식 등을 조율할 계획”이라고 말했다. 3.40~3.42㎓ 대역은 20㎒ 폭에 불과하다. 지난해 3.5㎓ 대역 경매 결과(10㎒ 폭당 968억원)를 감안하면, 가치가 1936억원으로 추산된다.",6,,,전자신문
"과기정통부, 본인정보활용 건강관리 등 8대 마이데이터 과제 선정","건강검진과 처방전 데이터를 개인 동의 이후 제3자에게 제공, 식단추천과 운동량 등 맞춤형 건강관리 서비스에 활용하는 게 가능해진다. 과학기술정보통신부는 이 같은 방식의 본인정보 활용 실증서비스 '마이 데이터(My Data)' 8대 과제를 선정했다. 마이데이터는 개인이 본인정보를 내려받거나 동의 아래 제3자에게 제공해 맞춤형 분석 등 데활용 서비스를 누리도록 하는 서비스다. 과기정통부는 지난해 금융·통신분야 시범사업에 이어 올해 의료·유통·에너지 등 분야로 사업범위를 확장한다.",1,,,전자신문
3.40~3.42GHz 비롯한 5G 추가 주파수 확보 속도,"과학기술정보통신부가 5세대(5G) 이동통신 추가 주파수 확보에 속도를 내고 있다. 과기정통부는 공공 분야 주파수와 간섭 우려로 지난해 경매에서 제외한 3.40~3.42㎓ 대역 간섭 테스트 논의에 착수했다. 과기정통부는 관계자는 “간섭 우려가 있는 하부 대역 공공기관 담당자와 테스트 가능 여부, 시기와 방식 등을 조율할 계획”이라고 말했다. 3.40~3.42㎓ 대역은 20㎒ 폭에 불과하다. 지난해 3.5㎓ 대역 경매 결과(10㎒ 폭당 968억원)를 감안하면, 가치가 1936억원으로 추산된다.",1,,,전자신문
"SK텔레콤, 세계 최초 30Gbps 속도 '와이파이7' 상용화 착수","SK텔레콤이 최고 30Gbps 이상 속도를 제공하는 7세대 와이파이(와이파이7)를 세계 최초로 상용화한다. 5세대(5G) 이동통신 세계 최초 상용화에 이어 무선기술 주도권을 강화하는 이정표가 될 것으로 전망된다. 과학기술정보통신부는 '초실감미디어지원 초고속 다중협력 무선랜 표준(기술명: IEEE 802.11be) 개발' 국책 과제 수행 기관으로 SK텔레콤 컨소시엄을 선정했다. SK텔레콤은 무선랜 강소기업 윌러스표준기술연구소와 2021년을 목표로 와이파이7 기술 개발에 착수했다. 와이파이7은 5G 혁신 기술을 무선랜 기반 와이파이에 적용해 초고속·초저지연 성능을 구현하는 것으로, 최고 30Gbps 무선데이터 전송 속도 구현이 목표다.SK텔레콤 컨소시엄은 2.4㎓, 5㎓, 6㎓ 비면허 주파수대역을 활용한 주파수집성(CA) 기술과 멀티안테나(MIMO) 기술을 적용한다. 다수 무선공유기(AP)와 단말기가 존재하는 상황에서도 안정적이고 끊어짐 없는 성능을 제공한다.",6,,,전자신문
"[이슈분석]5G 뺨치는 와이파이...차세대 기술 와이파이7, 얼마나 빨라졌길래","7세대 와이파이(와이파이7)는 5세대(5G) 이동통신에 버금가는 무선랜 기술 진화 결정판이다. 5G 활성화에 발맞춰 개발될 예정인 초실감 미디어콘텐츠를 안정적으로 전송하는 등 4차 산업혁명을 앞당기는 차세대 기술로 주목받고 있다. 글로벌 주도권 확보를 위해 SK텔레콤 등 우리나라 기업의 선제적 기술개발 대응과 더불어 6㎓ 대역 등 비면허 주파수대역 추가공급 등 정책 지원이 필수다.   ◇와이파이7은  국제전기전자공학회(IEEE)는 이달부터 'IEEE 802.11be 태스크그룹(TG)'을 결성, 기술개발을 시작했다. 우리나라에서는 SK텔레콤·윌러스표준기술연구소 컨소시엄이 글로벌 기술개발 시작과 동시에 개발에 착수했다.",6,,,전자신문
"SK텔레콤, 세계 최초 30Gbps 속도 '와이파이7' 상용화 착수","SK텔레콤이 최고 30Gbps 이상 속도를 제공하는 7세대 와이파이(와이파이7)를 세계 최초로 상용화한다. 5세대(5G) 이동통신 세계 최초 상용화에 이어 무선기술 주도권을 강화하는 이정표가 될 것으로 전망된다. 과학기술정보통신부는 '초실감미디어지원 초고속 다중협력 무선랜 표준(기술명: IEEE136 802.11be) 개발' 국책 과제 수행 기관으로 SK텔레콤 컨소시엄을 선정했다. SK텔레콤은 무선랜 강소기업 윌러스표준기술연구소와 2021년을 목표로 와이파이7 기술 개발에 착수했다. 와이파이7은 5G 혁신 기술을 무선랜 기반 와이파이에 적용해 초고속·초저지연 성능을 구현하는 것으로, 최고 30Gbps 무선데이터 전송 속도 구현이 목표다.SK텔레콤 컨소시엄은 2.4㎓, 5㎓, 6㎓ 비면허 주파수대역을 활용한 주파수집성(CA) 기술과 멀티안테나(MIMO60) 기술을 적용한다. 다수 무선공유기(AP)와 단말기가 존재하는 상황에서도 안정적이고 끊어짐 없는 성능을 제공한다.",2,,,전자신문
"'탄탄탄' 3국, '탄탄韓' 5G 배우러 온다","카자흐스탄과 투르크메니스탄, 우즈베키스탄 정보통신 장관이 세계 최초 5세대(5G) 이동통신 상용화 현장을 확인하기 위해 한국을 방문한다.  5G 글로벌 진출 레퍼런스가 중앙아시아에서 확보될 것으로 기대된다. 과학기술정보통신부는 중앙아시아 3국 정보통신 장관과 연내 한국 방문을 위해 의제와 일정 등을 조율 중이다.  3국 장관의 한국 방문 결정은 지난달 문재인 대통령 순방 당시 전격적으로 결정됐다. 유영민 과기정통부 장관이 세계 최초 5G 상용화를 소개하며 3국에 한국 방문을 요청했다. 3국 모두 5G에 대해 관심을 보이며 현장을 확인하고 싶다는 의사를 전달한 것으로 알려졌다. 과기정통부는 민관 협력을 통한 5G 조기 상용화 결정부터 5G 주파수 경매와 5G 플러스(+) 산업전략 등 일련의 지원 정책을 비롯한 서비스 현황 등을 소개할 것으로 예상된다.",2,,,전자신문
"이통3사, 설비투자 폭증····5G 투자 영향","이동통신사 1분기 설비투자(CAPEX)가 지난해 같은 기간 대비 폭증했다. 5세대(5G) 이동통신 상용화 서비스 투자 결과다.  이통 3사 1분기 설비투자 규모는 SK텔레콤 3313억원, KT 5521억원, LG유플러스 2768억원을 기록했다.  각각 지난해 대비 281%, 133%, 34% 증가한 수치다. 지난해 1분기 설비투자는 SK텔레콤 870억원, KT 2369억원, LG유플러스 2054억원이다.  설비투자 폭증은 5G 상용화를 위한 기지국 구축 등 초기 투자 영향이다. 지난해 12월 기업용(B2B) 5G 상용화를 앞두고 4분기 설비 투자가 증가한 데 이어 본격적인 상용화 서비스에 돌입하며 설비투자가 지속됐다는 분석이다.",4,,,전자신문
'무인기지국 원격전원관리' 등 3건 ICT 규제 샌드박스 지정,"무인기지국 누전 차단이 3회를 초과하더라도 현장 출동 없이 원격 점검·복구할 수 있는 길이 열렸다. 5세대(5G) 이동통신 기지국 급증에 효율적으로 대응하고 안정적 통신 품질을 제공하는 데 기여할 전망이다.  과학기술정보통신부는 9일 '제3차 신기술·서비스 심의위원회'를 열고 정보통신기술(ICT) 규제 샌드박스 적용 대상을 선정했다. 5개 안건 중 3건을 의결했으며 1건은 부분 의결, 1건은 보류했다.   '통신사 무인기지국 원격전원관리시스템'은 임시허가 의결을 받았다. 무인기지국 원격전원관리시스템은 '자동복구 누전차단기'에 사물인터넷80(IoT) 기술을 결합, 3회 초과 누전 차단에도 원격으로 전원상태를 모니터링·점검해 이상이 없으면 원격 복구하는 시스템이다.",4,,,전자신문
5G 기지국 5만4022국 구축···가입자 수는 26만명,"이동통신 3사가 5세대(5G) 이동통신 기지국 5만4000여국을 구축했으며 가입자 수는 26만명으로 집계됐다. 과학기술정보통신부는 이동통신 3사, 제조사(단말·장비)와 '5G 서비스 점검 민관합동 TF' 회의를 개최, 주요 현안과 해결방안 등을 논의했다. 지난달 29일 현재 커버리지 등 서비스 품질에 가장 큰 영향을 미치는 5G 기지국은 5만4202국(장치 수 11만7001대) 구축된 것으로 파악됐다. 4월22일 기준 5만512국(장치 수 11만751대) 대비 3690국(7%) 증가했다.",4,,,전자신문
[WIS2019]'월드IT쇼 2019' 개막...5G 이끄는 새로운 세상,"세계 최초로 상용화한 5세대(5G) 이동통신이 견인할 스마트 세상이 펼쳐진다.   5G 기반의 가상현실409(VR)·증강현실(AR) 등 콘텐츠는 물론 인공지능(AI), 스마트시티·스마트팩토리575, 자율주행차 등 4차 산업혁명의 초석이 될 정보통신기술(ICT) 미래 청사진이 제시된다.   국내 최대 ICT 전시회 '월드IT쇼(WIS88) 2019'가 24일 서울 강남구 코엑스에서 막을 올린다. '스마트 이노베이션'을 주제로 27일까지 나흘 일정으로 열린다.   과학기술정보통신부 주최, 산업통상자원부 후원, 전자신문사·한국무역협회·한국경제신문·코엑스·케이훼어스·한국정보통신진흥협회 주관으로 개최된다.  12회째를 맞는 올해는 18개국에서 약 400여 기업이 참가, 1000여개 부스가 마련된다. 연인원 관람객 15만명이 전시장을 찾을 것으로 예상된다.   SK텔레콤·KT·현대자동차·퀄컴 등 국내외 기업들이 5G, AI, 사물인터넷80(IoT), VR·AR, 스마트시티, 자율주행차 등 삶의 편의성을 높여 줄 최신 기술과 제품 및 서비스를 선보인다.",3,,,전자신문
